run,parameter,joint,value,lower,upper,normalized_distance_to_boundary
B,damping,FR-thigh,0.42107075452804565,0.0,5.0,0.08421415090560913
B,damping,FR-calf,0.3785175085067749,0.0,5.0,0.07570350170135498
B,damping,RL-abad,0.4656955599784851,0.0,5.0,0.09313911199569702
B,damping,RL-thigh,0.43739601969718933,0.0,5.0,0.08747920393943787
B,damping,RL-calf,0.35481587052345276,0.0,5.0,0.07096317410469055
B,damping,RR-abad,0.43373048305511475,0.0,5.0,0.08674609661102295
B,damping,RR-thigh,0.42536452412605286,0.0,5.0,0.08507290482521057
B,damping,RR-calf,0.370953232049942,0.0,5.0,0.0741906464099884
B,frictionloss,FL-abad,0.1871267855167389,0.0,1.0,0.1871267855167389
B,frictionloss,FL-thigh,0.1322055160999298,0.0,1.0,0.1322055160999298
B,frictionloss,FL-calf,0.9952207803726196,0.0,1.0,0.004779219627380371
B,frictionloss,FR-abad,0.14009398221969604,0.0,1.0,0.14009398221969604
B,frictionloss,FR-thigh,0.1249668300151825,0.0,1.0,0.1249668300151825
B,frictionloss,FR-calf,0.8275691270828247,0.0,1.0,0.1724308729171753
B,frictionloss,RL-abad,0.1438724398612976,0.0,1.0,0.1438724398612976
B,frictionloss,RL-thigh,0.11887562274932861,0.0,1.0,0.11887562274932861
B,frictionloss,RL-calf,0.5205804109573364,0.0,1.0,0.4794195890426636
B,frictionloss,RR-abad,0.15689870715141296,0.0,1.0,0.15689870715141296
B,frictionloss,RR-thigh,0.22614410519599915,0.0,1.0,0.22614410519599915
B,frictionloss,RR-calf,0.533123254776001,0.0,1.0,0.466876745223999
B,bias,FL-abad,-0.0299774631857872,-0.029999999329447746,0.029999999329447746,0.0003756024027377904
B,bias,FL-thigh,0.02939012087881565,-0.029999999329447746,0.029999999329447746,0.010164641071065688
B,bias,FL-calf,-0.02795092947781086,-0.029999999329447746,0.029999999329447746,0.03415116495728613
B,bias,FR-abad,0.029575439170002937,-0.029999999329447746,0.029999999329447746,0.0070760028155744704
B,bias,FR-thigh,0.029488692060112953,-0.029999999329447746,0.029999999329447746,0.008521788012723356
B,bias,FR-calf,0.02362908236682415,-0.029999999329447746,0.029999999329447746,0.10618195175041151
B,bias,RL-abad,-0.029760651290416718,-0.029999999329447746,0.029999999329447746,0.003989134073014574
B,bias,RL-thigh,-0.0299465861171484,-0.029999999329447746,0.029999999329447746,0.000890220224887088
B,bias,RL-calf,-0.026567067950963974,-0.029999999329447746,0.029999999329447746,0.05721552425359616
B,bias,RR-abad,0.029807792976498604,-0.029999999329447746,0.029999999329447746,0.0032034392874214887
B,bias,RR-thigh,-0.02721969038248062,-0.029999999329447746,0.029999999329447746,0.0463384834851979
B,bias,RR-calf,0.026368824765086174,-0.029999999329447746,0.029999999329447746,0.060519577425410837
B,delay,shared,5.5617876052856445,0.0,10.0,0.44382123947143554
C,armature,FL-abad,0.008236878551542759,9.999999747378752e-06,1.0,0.008226960821401516
C,armature,FL-thigh,0.0022036973387002945,9.999999747378752e-06,1.0,0.002193719276145123
C,armature,FL-calf,0.03195967525243759,9.999999747378752e-06,1.0,0.03194999475262967
C,armature,FR-abad,0.009188814088702202,9.999999747378752e-06,1.0,0.009178905878011285
C,armature,FR-thigh,0.003153696423396468,9.999999747378752e-06,1.0,0.0031437278609269047
C,armature,FR-calf,0.030395101755857468,9.999999747378752e-06,1.0,0.030385405610158515
C,armature,RL-abad,0.012024924159049988,9.999999747378752e-06,1.0,0.012015044309742672
C,armature,RL-thigh,0.0047625289298594,9.999999747378752e-06,1.0,0.004752576455875379
C,armature,RL-calf,0.030938809737563133,9.999999747378752e-06,1.0,0.030929119028998232
C,armature,RR-abad,0.014485080726444721,9.999999747378752e-06,1.0,0.014475225478948476
C,armature,RR-thigh,0.0054862708784639835,9.999999747378752e-06,1.0,0.005476325641971641
C,armature,RR-calf,0.03214164823293686,9.999999747378752e-06,1.0,0.03213196955287689
C,damping,FL-abad,0.3795181214809418,0.0,5.0,0.07590362429618835
C,damping,FL-thigh,0.42806923389434814,0.0,5.0,0.08561384677886963
C,damping,FL-calf,0.49857378005981445,0.0,5.0,0.09971475601196289
C,damping,FR-abad,0.39879873394966125,0.0,5.0,0.07975974678993225
C,damping,FR-thigh,0.43303295969963074,0.0,5.0,0.08660659193992615
C,damping,FR-calf,0.41207119822502136,0.0,5.0,0.08241423964500427
C,damping,RL-abad,0.4377835988998413,0.0,5.0,0.08755671977996826
C,damping,RL-thigh,0.4435080289840698,0.0,5.0,0.08870160579681396
C,damping,RL-calf,0.36079704761505127,0.0,5.0,0.07215940952301025
C,damping,RR-abad,0.4406893253326416,0.0,5.0,0.08813786506652832
C,damping,RR-thigh,0.4493449628353119,0.0,5.0,0.08986899256706238
C,damping,RR-calf,0.3801785409450531,0.0,5.0,0.07603570818901062
C,frictionloss,FL-abad,0.1896609663963318,0.0,0.699999988079071,0.27094424232319836
C,frictionloss,FL-thigh,0.12191823869943619,0.0,0.699999988079071,0.17416891539384494
C,frictionloss,FL-calf,0.6999780535697937,0.0,0.699999988079071,3.133501378698032e-05
C,frictionloss,FR-abad,0.1452997326850891,0.0,0.699999988079071,0.20757105022789837
C,frictionloss,FR-thigh,0.1108129471540451,0.0,0.699999988079071,0.1583042129159691
